Title;Year;Classification;Duration;Genre;Directors;Writers;Cast;TechCrew
Obsessão;1996;;11 min;['Curta-metragem'];['Pedro Guimas'];['Pedro Guimas'];['Alexandre Nuno', 'Margarida Banazol', 'Nuno Bento'];{'Direcção de Fotografia': [['Pedro Fonseca', 'Pedro Guimas']], 'Montagem': [['Pedro Fonseca', 'Pedro Guimas', 'Rui Pedro Costa']], 'Produção': [['Carlos Pinto']], 'Som': [['Maurício Baião']]}
Observação de Barragens;1960;;30 min;['Documentário'];['Hidalgo Barata'];[];[];{}
Obras no Mês de Santo António;1964;;;['Documentário'];['Mário Pires'];[];[];{}
Obras do Porto de Lisboa;1932;;;['Documentário'];[];[];[];{}
Obras de Novos Mercados;1963;;;['Documentário'];['Mário Pires'];[];[];{}
Obras de Lisboa;1962;;;['Documentário'];['Mário Pires'];[];[];{}
Obras de Arte;1939;;;['Documentário', 'Curta-metragem'];['José Cottinelli Telmo'];[];[];{}
Obras da Luso-Dana;1952;;;['Documentário'];[];[];[];{'Produção': [['Felipe de Solms']]}
O Que Te Quero;1998;M/14;11 min;['Curta-metragem'];['Jeanne Waltz'];['Jeanne Waltz'];['Alexandre Conefrey', 'Beatriz Batarda', 'Berta Ehrlich', 'Glicínia Quartín', 'Rafaela Santos', 'Ricardo Aibéo'];{'Direcção de Fotografia': [['Jeanne Waltz']], 'Direcção de Som': [['Nuno Carvalho']], 'Montagem': [['Paulo Rebelo']], 'Produção': [['Antónia Seabra']], 'Som': [['Joaquim Pinto', 'Nuno Leonel']]}
A Póvoa de Varzim;1942;;;['Documentário'];['Leitão de Barros'];[];[];{}
Póvoa de Varzim;1965;;;['Documentário'];['Perdigão Queiroga'];[];[];{'Produção': [['Perdigão Queiroga']]}
Pérolas;1963;;;['Documentário'];['Maria Luísa de Bívar'];[];[];{}
Pérola do Atlântico;1950;;;['Documentário'];['Fernando Sousa Neves'];[];[];{}
Pão, Amor e... Totobola!;1964;;124 min;['Comédia'];['Henrique Campos'];['Varela Silva'];['Álvaro Pereira', 'Américo Coimbra', 'Carlos Queirós', 'Clara Joana', 'Costa Ferreira', 'Décio de Freitas', 'Eva Todor', 'Fernanda Borsatti', 'Fernanda de Sousa', 'Florbela Queirós', 'Humberto Madeira', 'José Dores', 'Luís Cerqueira', 'Manuel Santos Carvalho', 'Maria Helena', 'Marques Vidal', 'Natalina José', 'Nicolau Breyner', 'Óscar Acúrcio', 'Perla Cristal', 'Rolando Alves', 'Rui Gomes', 'Victor Lima'];{'Adaptação': [['Santos Fernando', 'Ferro Rodrigues']], 'Assistente de Imagem': [['José Manuel Caixeiro']], 'Assistente de Montagem': [['Helena Mendes', 'Elisabeth Fernandes']], 'Assistente de Realização': [['Santinho Martins', 'Vítor Costa', 'Vítor Barbosa']], 'Canções por': [['Zeca do Rock', 'Maria Helena II', 'Conjunto Cristal']], 'Caracterização': [['Maria Madureira']], 'Chefe de Iluminação': [['Fernando Humberto']], 'Continuidade': [['Candida Caixeiro']], 'Decoração': [['Marcello de Morais']], 'Diálogos': [['Santos Fernando']], 'Direcção de Fotografia': [['Perdigão Queiroga']], 'Direcção de Produção': [['Armando Bruno']], 'Direcção de Som': [['Edmundo Sanches']], 'Distribuição': [['Doperfilme']], 'Fotografia de Cena': [['João Martins (I)']], 'Letra das Canções': [['Aníbal Nazaré']], 'Montagem': [['Sara Ontañón']], 'Música': [['Hélder Martins II']], 'Música das Canções': [['Hélder Martins II']], 'Operador de Imagem': [['José Pereira']], 'Operador de Som': [['João Abóbora']], 'Planificação/Sequência': [['Afonso Botelho', 'Varela Silva']], 'Produção': [['Francisco de Castro']], 'Supervisão': [['Perdigão Queiroga']]}
